ID,Street Name,Street Qualifier,Begin Measure,End Measure,School,Speed Limit,Effective Days,Effective Time,Legislation Link,Location
28,Overton St,A,20.44126,154.68081,Glenwood School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.108469166476 49.864848476641, -97.108619191158 49.865037186142, -97.108849162575 49.865326453971, -97.108908828693 49.865401504531, -97.108968737876 49.865476860569, -97.109125729305 49.865674327905, -97.109170084575 49.865730118633, -97.109322730881 49.865922118362)"
164,Burrows Ave,A,1422.16374,1665.23518,Strathcona School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.146508133505 49.91966238865, -97.146775267837 49.91974875382, -97.146894512737 49.919793440176, -97.14721823408 49.919898098321, -97.149277980669 49.920563976656, -97.149531172189 49.920645825066)"
234,Bairdmore Blvd,A,2094.55628,2379.20362,Bairdmore School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.169587750917 49.780859772399, -97.169512813418 49.780645015439, -97.169344090803 49.780161479604, -97.168916808516 49.778936904683, -97.168842257588 49.778723238278, -97.168720509638 49.77837429903, -97.168716200557 49.778363082179)"
247,Chancellor Dr,A,2551.08688,2844.54136,Chancellor Elementary,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.16857727705 49.803299090931, -97.168174585488 49.80328321372, -97.168016064022 49.803276962868, -97.167857560781 49.803270712515, -97.165575900456 49.803180717656, -97.16547388385 49.803173645649, -97.165264009972 49.803159096459, -97.164843483649 49.803142496463, -97.16480125726 49.803140468234, -97.164669349787 49.803129429752, -97.164539301808 49.803111377235, -97.164513538949 49.803106329259)"
283,Markham Rd,A,1232.61719,1548.89453,Arthur A. Leach School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.157956831463 49.807633440178, -97.158831072835 49.807337152852, -97.158914003228 49.80730904568, -97.158921109973 49.807306637023, -97.159011160189 49.807276116652, -97.160821514313 49.806662517147, -97.160958480114 49.80661857797, -97.16110618296 49.806571194033, -97.161853068692 49.806317993618)"
286,Autumnwood Dr,A,1396.4735,1714.58736,Ecole Lacerte,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.078243855857 49.862095540792, -97.078242962622 49.862004532599, -97.07826622469 49.861941853737, -97.078280568838 49.861806652364, -97.078312171964 49.861519522405, -97.07833179905 49.861341198714, -97.078368476414 49.861026121569, -97.078375693015 49.860957722897, -97.078426416114 49.860574221703, -97.078461088025 49.860312074527, -97.078415522487 49.860244045828, -97.078469577014 49.859845638891, -97.078473079019 49.859819827239, -97.078570101876 49.859252880291)"
293,Bruce Ave,A,846.08332,1169.16389,Golden Gate Middle School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.256785806609 49.882725870766, -97.257191150447 49.882741626824, -97.257870036937 49.882766786141, -97.258623105358 49.882794366005, -97.259476758015 49.882825623648, -97.2600033222 49.882844901354, -97.2602281215 49.882853138721, -97.260865909173 49.882876506922, -97.261274782021 49.882891485949)"
294,Cunnington Ave,A,447.56424,773.06424,Windsor School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.117710295691 49.855272173924, -97.118525667104 49.854999115585, -97.118619710729 49.854967620617, -97.11871375972 49.854936123734, -97.120940456459 49.854190377841, -97.121730157127 49.853925882228)"
128,Silver Ave,A,619.41537,840.77961,Stevenson School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.209647601403 49.887710172068, -97.209661616368 49.887710706762, -97.2099593222 49.88772164463, -97.210345890379 49.8877358462, -97.210561310983 49.887745152713, -97.210761774341 49.887753812686, -97.211066256149 49.887764937604, -97.211300215627 49.887766433034, -97.211766493716 49.887777946315, -97.212032046204 49.887787836821, -97.212221699679 49.887794900093, -97.212599775975 49.887809527924, -97.212724041582 49.887814335509)"
209,Booth Dr,A,422.58997,689.84705,Bruce Middle School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.274598392217 49.881932255268, -97.274790736202 49.882486276795, -97.274814801698 49.882556388316, -97.274868233318 49.882699484592, -97.274938737749 49.882839459976, -97.274983258159 49.88291266831, -97.275001987651 49.882941025056, -97.275087935035 49.883059539053, -97.275189061948 49.883172940872, -97.275267783158 49.883246673415, -97.275356053767 49.883315743707, -97.275453215844 49.883379636896, -97.275558545173 49.883437876719, -97.275671256649 49.883490029051, -97.275790510131 49.883535705144, -97.275915416708 49.883574564522, -97.27604504532 49.88360631752, -97.276175998929 49.883630353385, -97.276309632523 49.883647136772, -97.276444985864 49.883656547083, -97.276626619209 49.88366345943)"
